strategy,generation_interval_ms,poll_interval_ms,long_poll_timeout_ms,request_started_at,response_received_at,request_latency_ms,data_age_ms,message_id,duplicate,missed_messages,http_status,response_bytes
polling,1000,2000,,1779045916949,1779045916951,2,2,1,False,0,200,298
polling,1000,2000,,1779045918950,1779045918952,2,1001,2,False,0,200,295
polling,1000,2000,,1779045920950,1779045920952,2,999,4,False,1,200,298
polling,1000,2000,,1779045922950,1779045922953,3,996,6,False,1,200,292
polling,1000,2000,,1779045924950,1779045924954,4,994,8,False,1,200,295
polling,1000,2000,,1779045926950,1779045926957,7,995,10,False,1,200,294
polling,1000,2000,,1779045928950,1779045928952,2,987,12,False,1,200,294
polling,1000,2000,,1779045930950,1779045930952,2,985,14,False,1,200,300
polling,1000,2000,,1779045932950,1779045932952,2,984,16,False,1,200,297
polling,1000,2000,,1779045934950,1779045934952,2,982,18,False,1,200,297
polling,1000,2000,,1779045936950,1779045936953,3,981,20,False,1,200,296
polling,1000,2000,,1779045938950,1779045938953,3,979,22,False,1,200,296
polling,1000,2000,,1779045940950,1779045940952,2,977,24,False,1,200,294
polling,1000,2000,,1779045942950,1779045942952,2,975,26,False,1,200,294
polling,1000,2000,,1779045944950,1779045944953,3,975,28,False,1,200,297
polling,1000,2000,,1779045946950,1779045946952,2,970,30,False,1,200,297
polling,1000,2000,,1779045948950,1779045948954,4,971,32,False,1,200,297
polling,1000,2000,,1779045950950,1779045950954,4,968,34,False,1,200,294
polling,1000,2000,,1779045952950,1779045952952,2,964,36,False,1,200,296
polling,1000,2000,,1779045954950,1779045954952,2,962,38,False,1,200,303
polling,1000,2000,,1779045956950,1779045956952,2,959,40,False,1,200,297
polling,1000,2000,,1779045958950,1779045958953,3,958,42,False,1,200,297
polling,1000,2000,,1779045960950,1779045960953,3,956,44,False,1,200,297
polling,1000,2000,,1779045962950,1779045962953,3,953,46,False,1,200,297
polling,1000,2000,,1779045964950,1779045964954,4,953,48,False,1,200,299
polling,1000,2000,,1779045966950,1779045966952,2,949,50,False,1,200,297
polling,1000,2000,,1779045968950,1779045968952,2,947,52,False,1,200,303
polling,1000,2000,,1779045970950,1779045970952,2,944,54,False,1,200,294
polling,1000,2000,,1779045972950,1779045972952,2,943,56,False,1,200,297
polling,1000,2000,,1779045976459,1779045976462,3,3,58,False,1,200,303
polling,1000,2000,,1779045977946,1779045977949,3,489,59,False,0,200,297
polling,1000,2000,,1779045979946,1779045979949,3,486,61,False,1,200,297
polling,1000,2000,,1779045981948,1779045981951,3,486,63,False,1,200,297
polling,1000,2000,,1779045983947,1779045983951,4,483,65,False,1,200,297
polling,1000,2000,,1779045985946,1779045985950,4,480,67,False,1,200,297
polling,1000,2000,,1779045987946,1779045987950,4,478,69,False,1,200,294
polling,1000,2000,,1779045989946,1779045989952,6,477,71,False,1,200,297
polling,1000,2000,,1779045991946,1779045991951,5,474,73,False,1,200,296
polling,1000,2000,,1779045993946,1779045993950,4,470,75,False,1,200,298
polling,1000,2000,,1779045995946,1779045995950,4,469,77,False,1,200,298
polling,1000,2000,,1779045997946,1779045997950,4,465,79,False,1,200,298
polling,1000,2000,,1779045999946,1779045999950,4,464,81,False,1,200,298
polling,1000,2000,,1779046001946,1779046001950,4,463,83,False,1,200,298
polling,1000,2000,,1779046003946,1779046003950,4,461,85,False,1,200,294
polling,1000,2000,,1779046005946,1779046005949,3,456,87,False,1,200,298
polling,1000,2000,,1779046007946,1779046007951,5,457,89,False,1,200,298
polling,1000,2000,,1779046009946,1779046009950,4,454,91,False,1,200,298
polling,1000,2000,,1779046011947,1779046011952,5,454,93,False,1,200,297
polling,1000,2000,,1779046013946,1779046013950,4,449,95,False,1,200,300
polling,1000,2000,,1779046015946,1779046015950,4,446,97,False,1,200,298
polling,1000,2000,,1779046017946,1779046017950,4,445,99,False,1,200,295
polling,1000,2000,,1779046019946,1779046019951,5,444,101,False,1,200,299
polling,1000,2000,,1779046021946,1779046021951,5,443,103,False,1,200,299
polling,1000,2000,,1779046023946,1779046023950,4,439,105,False,1,200,299
polling,1000,2000,,1779046025946,1779046025950,4,437,107,False,1,200,299
polling,1000,2000,,1779046027946,1779046027949,3,434,109,False,1,200,299
polling,1000,2000,,1779046029946,1779046029949,3,432,111,False,1,200,298
polling,1000,2000,,1779046031946,1779046031949,3,430,113,False,1,200,299
polling,1000,2000,,1779046033946,1779046033949,3,428,115,False,1,200,299
polling,1000,2000,,1779046035946,1779046035949,3,426,117,False,1,200,299
polling,1000,2000,,1779046037946,1779046037948,2,424,119,False,1,200,299
