strategy,generation_interval_ms,poll_interval_ms,long_poll_timeout_ms,request_started_at,response_received_at,request_latency_ms,data_age_ms,message_id,duplicate,missed_messages,http_status,response_bytes
sse,1000,,,1779049083613,1779049083622,-1,10,1,False,0,200,325
sse,1000,,,1779049083613,1779049084615,-1,1,2,False,0,200,322
sse,1000,,,1779049083613,1779049085617,-1,1,3,False,0,200,322
sse,1000,,,1779049083613,1779049086619,-1,2,4,False,0,200,325
sse,1000,,,1779049083613,1779049087620,-1,1,5,False,0,200,325
sse,1000,,,1779049083613,1779049088621,-1,1,6,False,0,200,319
sse,1000,,,1779049083613,1779049089623,-1,1,7,False,0,200,322
sse,1000,,,1779049083613,1779049090625,-1,2,8,False,0,200,322
sse,1000,,,1779049083613,1779049091627,-1,2,9,False,0,200,323
sse,1000,,,1779049083613,1779049092627,-1,1,10,False,0,200,322
sse,1000,,,1779049083613,1779049093628,-1,1,11,False,0,200,325
sse,1000,,,1779049083613,1779049094629,-1,1,12,False,0,200,322
sse,1000,,,1779049083613,1779049095631,-1,1,13,False,0,200,325
sse,1000,,,1779049083613,1779049096632,-1,1,14,False,0,200,328
sse,1000,,,1779049083613,1779049097633,-1,1,15,False,0,200,325
sse,1000,,,1779049083613,1779049098634,-1,1,16,False,0,200,325
sse,1000,,,1779049083613,1779049099636,-1,2,17,False,0,200,322
sse,1000,,,1779049083613,1779049100638,-1,2,18,False,0,200,325
sse,1000,,,1779049083613,1779049101638,-1,1,19,False,0,200,325
sse,1000,,,1779049083613,1779049102639,-1,1,20,False,0,200,325
sse,1000,,,1779049083613,1779049103640,-1,1,21,False,0,200,325
sse,1000,,,1779049083613,1779049104642,-1,1,22,False,0,200,325
sse,1000,,,1779049083613,1779049105645,-1,1,23,False,0,200,325
sse,1000,,,1779049083613,1779049106645,-1,1,24,False,0,200,322
sse,1000,,,1779049083613,1779049107646,-1,1,25,False,0,200,325
sse,1000,,,1779049083613,1779049108647,-1,1,26,False,0,200,322
sse,1000,,,1779049083613,1779049109649,-1,1,27,False,0,200,325
sse,1000,,,1779049083613,1779049110651,-1,1,28,False,0,200,325
sse,1000,,,1779049083613,1779049111657,-1,5,29,False,0,200,322
sse,1000,,,1779049083613,1779049112654,-1,1,30,False,0,200,325
sse,1000,,,1779049083613,1779049113657,-1,2,31,False,0,200,325
sse,1000,,,1779049083613,1779049114658,-1,1,32,False,0,200,325
sse,1000,,,1779049083613,1779049115660,-1,1,33,False,0,200,325
sse,1000,,,1779049083613,1779049116661,-1,1,34,False,0,200,322
sse,1000,,,1779049083613,1779049117664,-1,2,35,False,0,200,325
sse,1000,,,1779049083613,1779049118665,-1,1,36,False,0,200,324
sse,1000,,,1779049083613,1779049119666,-1,1,37,False,0,200,325
sse,1000,,,1779049083613,1779049120668,-1,1,38,False,0,200,331
sse,1000,,,1779049083613,1779049121668,-1,1,39,False,0,200,325
sse,1000,,,1779049083613,1779049122670,-1,2,40,False,0,200,325
